Timestamp,Value
2025-04-11 23:37:16.318,2011
2025-04-11 23:37:16.369,2002
2025-04-11 23:37:16.369,2003
2025-04-11 23:37:16.386,1950
2025-04-11 23:37:16.436,1979
2025-04-11 23:37:16.437,2015
2025-04-11 23:37:16.503,1963
2025-04-11 23:37:16.503,1972
2025-04-11 23:37:16.503,1936
2025-04-11 23:37:16.535,1961
2025-04-11 23:37:16.535,1936
2025-04-11 23:37:16.593,1951
2025-04-11 23:37:16.594,1938
2025-04-11 23:37:16.594,1939
2025-04-11 23:37:16.594,1941
2025-04-11 23:37:16.654,1955
2025-04-11 23:37:16.654,1943
2025-04-11 23:37:16.716,1965
2025-04-11 23:37:16.716,1968
2025-04-11 23:37:16.716,1872
2025-04-11 23:37:16.764,1922
2025-04-11 23:37:16.765,1990
2025-04-11 23:37:16.765,2025
2025-04-11 23:37:16.818,2057
2025-04-11 23:37:16.818,1921
2025-04-11 23:37:16.877,1995
2025-04-11 23:37:16.879,1968
2025-04-11 23:37:16.879,1977
2025-04-11 23:37:16.938,1931
2025-04-11 23:37:16.938,1901
2025-04-11 23:37:16.938,1931
2025-04-11 23:37:17.000,1790
2025-04-11 23:37:17.000,2079
2025-04-11 23:37:17.047,2061
2025-04-11 23:37:17.048,1978
2025-04-11 23:37:17.048,2032
2025-04-11 23:37:17.100,2115
2025-04-11 23:37:17.101,1621
2025-04-11 23:37:17.101,1904
2025-04-11 23:37:17.168,2014
2025-04-11 23:37:17.168,1984
2025-04-11 23:37:17.214,1381
2025-04-11 23:37:17.221,1920
2025-04-11 23:37:17.221,1997
2025-04-11 23:37:17.269,2012
2025-04-11 23:37:17.270,2031
2025-04-11 23:37:17.271,1631
2025-04-11 23:37:17.352,1935
2025-04-11 23:37:17.352,2032
2025-04-11 23:37:17.407,1951
2025-04-11 23:37:17.407,1574
2025-04-11 23:37:17.407,2167
2025-04-11 23:37:17.442,2081
2025-04-11 23:37:17.455,2093
2025-04-11 23:37:17.455,1527
2025-04-11 23:37:17.494,1829
2025-04-11 23:37:17.495,2003
2025-04-11 23:37:17.556,1883
2025-04-11 23:37:17.556,2215
2025-04-11 23:37:17.556,2267
2025-04-11 23:37:17.605,2032
2025-04-11 23:37:17.605,1980
2025-04-11 23:37:17.608,1530
2025-04-11 23:37:17.662,1792
2025-04-11 23:37:17.662,2030
2025-04-11 23:37:17.731,2005
2025-04-11 23:37:17.732,2324
2025-04-11 23:37:17.732,2150
2025-04-11 23:37:17.774,2035
2025-04-11 23:37:17.775,1926
2025-04-11 23:37:17.775,1712
2025-04-11 23:37:17.849,1904
2025-04-11 23:37:17.850,2010
2025-04-11 23:37:17.913,1936
2025-04-11 23:37:17.914,1335
2025-04-11 23:37:17.914,2067
2025-04-11 23:37:17.944,2064
2025-04-11 23:37:17.945,2066
2025-04-11 23:37:17.948,1661
2025-04-11 23:37:18.010,1921
2025-04-11 23:37:18.010,2011
2025-04-11 23:37:18.055,1903
2025-04-11 23:37:18.056,2278
